14.11.2020(18:47:44) :: librarian@192.168.1.101:1099/JADE REGISTERED AS LIBRARIAN
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:47:56) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:00) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:02) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:02) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:02) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:02) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:02) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:48:04) :: librarian@192.168.1.101:1099/JADE TAKEN DOWN AND UNREGISTERED FROM DFSERVICE
